"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Jpx","GSM2545351",396,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,70252,"Jpx transcript, Xist activator (non-protein coding)","ENSMUSG00000097571","2010000I03Rik","X","lncRNA",NA,NA
"Sctr","GSM2545351",14,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,319229,"secretin receptor, transcript variant X2","ENSMUSG00000026387","6530402O03Rik","1","protein_coding","abnormal CNS synaptic transmission","SCTR"
"Acbd6","GSM2545345",890,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,72482,"acyl-Coenzyme A binding domain containing 6, transcript variant X2","ENSMUSG00000033701","0610010G04Rik","1","protein_coding",NA,"ACBD6"
"Aox4","GSM2545347",3,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,71872,"aldehyde oxidase 4","ENSMUSG00000038242","2310003G12Rik","1","protein_coding","prenatal lethality incomplete penetrance",NA
"Epc1","GSM2545350",3222,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,13831,"enhancer of polycomb homolog 1 (Drosophila), transcript variant 1","ENSMUSG00000024240","2400007E14Rik","18","protein_coding","abnormal behavior","EPC1"
"Rlbp1","GSM2545339",275,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,19771,"retinaldehyde binding protein 1, transcript variant X4","ENSMUSG00000039194","3110056M11Rik","7","protein_coding","abnormal tooth morphology","RLBP1"
"Rcor3","GSM2545341",1518,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,214742,"REST corepressor 3, transcript variant 1","ENSMUSG00000037395","4921514E24Rik","1","protein_coding","abnormal auditory brainstem response","RCOR3"
"Susd6","GSM2545348",5477,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,217684,"sushi domain containing 6, transcript variant 1","ENSMUSG00000021133","4933426M11Rik","12","protein_coding","decreased body weight","SUSD6"
"Arc","GSM2545337",646,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,11838,"activity regulated cytoskeletal-associated protein, transcript variant 2","ENSMUSG00000022602","Arc3.1","15","protein_coding","abnormal AMPA-mediated synaptic currents","ARC"
"Prps1","GSM2545380",3029,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,19139,"phosphoribosyl pyrophosphate synthetase 1","ENSMUSG00000031432","2310010D17Rik","X","protein_coding","preweaning lethality complete penetrance","PRPS1"
"Mff","GSM2545340",7146,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,75734,"mitochondrial fission factor, transcript variant X5","ENSMUSG00000026150","5230400G24Rik","1","protein_coding","abnormal induced morbidity/mortality","MFF"
"Abi2","GSM2545353",5287,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,329165,"abl-interactor 2, transcript variant X1","ENSMUSG00000026782","8430425M24Rik","1","protein_coding","abnormal behavior","ABI2"
"Paip2b","GSM2545348",3775,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,232164,"poly(A) binding protein interacting protein 2B","ENSMUSG00000045896",NA,"6","protein_coding",NA,"PAIP2B"
"Atic","GSM2545362",1047,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,108147,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ENSMUSG00000026192","2610509C24Rik","1","protein_coding",NA,"ATIC"
"Mcmdc2","GSM2545349",39,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,240697,"minichromosome maintenance domain containing 2, transcript variant X6","ENSMUSG00000046101","6030422M02Rik","1","protein_coding","abnormal double-strand DNA break repair","MCMDC2"
"Serpinb10","GSM2545380",3,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,241197,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10, transcript variant X1","ENSMUSG00000092572",NA,"1","polymorphic_pseudogene","abnormal kidney morphology","SERPINB10"
"Nabp1","GSM2545346",380,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,109019,"nucleic acid binding protein 1, transcript variant X2","ENSMUSG00000026107","4930434H03Rik","1","protein_coding","decreased testis weight","NABP1"
"Kif14","GSM2545338",7,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,381293,"kinesin family member 14, transcript variant X9","ENSMUSG00000041498","D1Ertd367e","1","protein_coding","abnormal Purkinje cell dendrite morphology","KIF14"
"Slc26a7","GSM2545380",372,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,208890,"solute carrier family 26, member 7, transcript variant X2","ENSMUSG00000040569",NA,"4","protein_coding","abnormal digestive system physiology","SLC26A7"
"Dpy19l1","GSM2545380",1814,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,244745,"dpy-19-like 1 (C. elegans), transcript variant X1","ENSMUSG00000043067","1100001I19Rik","9","protein_coding","abnormal heart morphology","DPY19L1"
"Desi1","GSM2545343",7623,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,28075,"desumoylating isopeptidase 1, transcript variant X1","ENSMUSG00000022472","D15Wsu75e","15","protein_coding",NA,"DESI1"
"Epha4","GSM2545337",986,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,13838,"Eph receptor A4, transcript variant X1","ENSMUSG00000026235","2900005C20Rik","1","protein_coding","abnormal anterior commissure morphology","EPHA4"
"Car14","GSM2545347",1663,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,23831,"carbonic anhydrase 14, transcript variant X2","ENSMUSG00000038526","CA XIV","3","protein_coding","abnormal retina morphology","CA14"
"Ppp1r2","GSM2545362",4982,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,66849,"protein phosphatase 1, regulatory (inhibitor) subunit 2","ENSMUSG00000047714","0610025N14Rik","16","protein_coding","abnormal response to novel object","PPP1R2B"
"Il12rb1","GSM2545363",37,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,16161,"interleukin 12 receptor, beta 1, transcript variant X1","ENSMUSG00000000791","CD212","8","protein_coding","abnormal skin coloration","IL12RB1"
"Srr","GSM2545341",1628,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,27364,"serine racemase, transcript variant X2","ENSMUSG00000001323","M100034","11","protein_coding","abnormal excitatory postsynaptic currents","SRR"
"Slit1","GSM2545341",100,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,20562,"slit homolog 1 (Drosophila), transcript variant X1","ENSMUSG00000025020","Slil1","19","protein_coding",NA,"SLIT1"
"Prelp","GSM2545343",1393,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,116847,"proline arginine-rich end leucine-rich repeat","ENSMUSG00000041577","7330409J17Rik","1","protein_coding","increased circulating bilirubin level","PRELP"
"Rcor3","GSM2545344",1275,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,214742,"REST corepressor 3, transcript variant 1","ENSMUSG00000037395","4921514E24Rik","1","protein_coding","abnormal auditory brainstem response","RCOR3"
"Cnot11","GSM2545347",1358,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,52846,"CCR4-NOT transcription complex, subunit 11","ENSMUSG00000003135","2410015L18Rik","1","protein_coding",NA,"CNOT11"
"Timmdc1","GSM2545343",790,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,76916,"translocase of inner mitochondrial membrane domain containing 1","ENSMUSG00000002846","2810021C21Rik","16","protein_coding","abnormal coat appearance","TIMMDC1"
"Nifk","GSM2545342",781,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,67949,"nucleolar protein interacting with the FHA domain of MKI67","ENSMUSG00000026377","C130020J04Rik","1","protein_coding","abnormal heart morphology","NIFK"
"Spp2","GSM2545339",5,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,75396,"secreted phosphoprotein 2, transcript variant X1","ENSMUSG00000026295","0610038O04Rik","1","protein_coding",NA,"SPP2"
"Rbms2","GSM2545380",1066,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,56516,"RNA binding motif, single stranded interacting protein 2, transcript variant X2","ENSMUSG00000040043","2610315E04Rik","10","protein_coding",NA,"RBMS2"
"Nmnat3","GSM2545347",43,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,74080,"nicotinamide nucleotide adenylyltransferase 3, transcript variant X4","ENSMUSG00000032456","4933408N02Rik","9","protein_coding","abnormal enzyme/coenzyme level","NMNAT3"
"Spice1","GSM2545351",471,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,212514,"spindle and centriole associated protein 1, transcript variant X4","ENSMUSG00000043065","Ccdc52","16","protein_coding","improved glucose tolerance","SPICE1"
"Acta2","GSM2545342",196,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,11475,"actin, alpha 2, smooth muscle, aorta","ENSMUSG00000035783","0610041G09Rik","19","protein_coding","abnormal aorta elastic tissue morphology","ACTA2"
"Gm5835","GSM2545337",20,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,545369,NA,"ENSMUSG00000101795",NA,"1","processed_pseudogene",NA,NA
"Atp1b1","GSM2545339",52975,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,11931,"ATPase, Na+/K+ transporting, beta 1 polypeptide","ENSMUSG00000026576","Atpb","1","protein_coding","no abnormal phenotype detected","ATP1B1"
"Amer3","GSM2545343",2359,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,211383,"APC membrane recruitment 3, transcript variant X1","ENSMUSG00000045174","9430069J07Rik","1","protein_coding",NA,"AMER3"
"Eps15","GSM2545340",12363,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,13858,"epidermal growth factor receptor pathway substrate 15, transcript variant X3","ENSMUSG00000028552","2410112D09Rik","4","protein_coding","decreased circulating bilirubin level","EPS15"
"Cnp","GSM2545362",14666,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,12799,"2',3'-cyclic nucleotide 3' phosphodiesterase, transcript variant X1","ENSMUSG00000006782","Cnp-1","11","protein_coding","decreased mean corpuscular volume","CNP"
"Pomt2","GSM2545344",1275,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,217734,"protein-O-mannosyltransferase 2, transcript variant X1","ENSMUSG00000034126","A830009D15Rik","12","protein_coding","abnormal Reichert's membrane morphology","POMT2"
"Tbc1d20","GSM2545344",1243,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,67231,"TBC1 domain family, member 20","ENSMUSG00000027465","1110028I04Rik","2","protein_coding","abnormal skin morphology","TBC1D20"
"Jam2","GSM2545353",3969,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,67374,"junction adhesion molecule 2","ENSMUSG00000053062","2410030G21Rik","16","protein_coding","abnormal retina morphology","JAM2"
"Mettl17","GSM2545341",1006,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,52535,"methyltransferase like 17","ENSMUSG00000004561","2310032K15Rik","14","protein_coding",NA,"METTL17"
"Rab44","GSM2545343",4,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,442827,"RAB44, member RAS oncogene family, transcript variant X5","ENSMUSG00000064147","9830134C10Rik","17","protein_coding",NA,"RAB44"
"Gm2824","GSM2545347",38,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,100040529,"predicted gene 2824, transcript variant X13","ENSMUSG00000097452",NA,"15","lncRNA",NA,NA
"Cyp2j12","GSM2545351",96,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,242546,"cytochrome P450, family 2, subfamily j, polypeptide 12, transcript variant X1","ENSMUSG00000081225","Cyp2j12-ps","4","protein_coding",NA,NA
"Ccnl2","GSM2545363",9678,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,56036,"cyclin L2, transcript variant X3","ENSMUSG00000029068","1700010A01Rik","4","protein_coding",NA,"CCNL2"
"Ly96","GSM2545340",29,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,17087,"lymphocyte antigen 96, transcript variant X1","ENSMUSG00000025779","ESOP-1","1","protein_coding","abnormal immune cell physiology","LY96"
"Pxmp2","GSM2545341",321,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,19301,"peroxisomal membrane protein 2","ENSMUSG00000029499","22kDa","5","protein_coding","abnormal female reproductive system morphology","PXMP2"
"Spsb3","GSM2545380",3814,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,79043,"splA/ryanodine receptor domain and SOCS box containing 3, transcript variant X5","ENSMUSG00000024160","2310012N15Rik","17","protein_coding",NA,"SPSB3"
"Acmsd","GSM2545346",3,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,266645,"amino carboxymuconate semialdehyde decarboxylase","ENSMUSG00000026348",NA,"1","protein_coding","decreased circulating bilirubin level","ACMSD"
"Pole","GSM2545349",87,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,18973,"polymerase (DNA directed), epsilon","ENSMUSG00000007080","pol-epsilon","5","protein_coding","embryonic lethality between implantation and placentation complete penetrance","POLE"
"Hgsnat","GSM2545343",3049,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,52120,"heparan-alpha-glucosaminide N-acetyltransferase","ENSMUSG00000037260","9430010M12Rik","8","protein_coding","abnormal bone structure","HGSNAT"
"Rpl14-ps1","GSM2545363",23,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,100040970,"ribosomal protein L14, pseudogene 1","ENSMUSG00000046721","Gm9811","7","processed_pseudogene",NA,NA
"Snora41","GSM2545346",18,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,100217464,"small nucleolar RNA, H/ACA box 41","ENSMUSG00000064602","MBI-83","1","snoRNA",NA,"SNORA41"
"H2-T24","GSM2545348",74,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,15042,"histocompatibility 2, T region locus 24, transcript variant X3","ENSMUSG00000053835","H-2T24","17","protein_coding","decreased circulating free fatty acids level","HLA-E"
"Nop14","GSM2545349",960,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,75416,"NOP14 nucleolar protein","ENSMUSG00000036693","2610033H07Rik","5","protein_coding",NA,"NOP14"
"Gpr146","GSM2545353",980,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,80290,"G protein-coupled receptor 146, transcript variant X1","ENSMUSG00000044197","PGR8","5","protein_coding","decreased circulating cholesterol level","GPR146"
"Ccdc28b","GSM2545354",1729,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,66264,"coiled coil domain containing 28B","ENSMUSG00000028795","1110002E08Rik","4","protein_coding",NA,"CCDC28B"
"Fmnl3","GSM2545341",515,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,22379,"formin-like 3, transcript variant X3","ENSMUSG00000023008","2700073B04Rik","15","protein_coding","abnormal skin coloration","FMNL3"
"Tac4","GSM2545353",11,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,93670,"tachykinin 4","ENSMUSG00000020872","hemokinin I (HK-1)","11","protein_coding","increased pro-B cell number","TAC4"
"Plxnb2","GSM2545354",6240,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,140570,"plexin B2, transcript variant 3","ENSMUSG00000036606","1110007H23Rik","15","protein_coding","abnormal response to tactile stimuli","PLXNB2"
"Parp3","GSM2545350",400,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,235587,"poly (ADP-ribose) polymerase family, member 3","ENSMUSG00000023249","A930002C11Rik","9","protein_coding",NA,"PARP3"
"Eef1b2","GSM2545350",3850,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,55949,"eukaryotic translation elongation factor 1 beta 2","ENSMUSG00000025967","2810017J07Rik","1","protein_coding","abnormal bone structure","EEF1B2"
"Casp8","GSM2545380",85,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,12370,"caspase 8, transcript variant X1","ENSMUSG00000026029","Caspase-8","1","protein_coding","abnormal blood cell morphology/development","CASP8"
"Ogdhl","GSM2545362",4959,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,239017,"oxoglutarate dehydrogenase-like, transcript variant X2","ENSMUSG00000021913",NA,"14","protein_coding",NA,"OGDHL"
"Setd7","GSM2545345",16765,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,73251,"SET domain containing (lysine methyltransferase) 7","ENSMUSG00000037111","1600028F23Rik","3","protein_coding","abnormal cell cycle checkpoint function","SETD7"
"Gm15850","GSM2545343",2,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,329253,"predicted gene 15850, transcript variant 4","ENSMUSG00000086264",NA,"1","lncRNA",NA,NA
"Serpinb5","GSM2545336",5,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,20724,"serine (or cysteine) peptidase inhibitor, clade B, member 5, transcript variant X2","ENSMUSG00000067006","1110036M19Rik","1","protein_coding","abnormal sinus arrhythmia","SERPINB5"
"Tmem200c","GSM2545342",212,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,622645,"transmembrane protein 200C","ENSMUSG00000095407","Gm6338","17","protein_coding",NA,"TMEM200C"
"Eps8l1","GSM2545349",386,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,67425,"EPS8-like 1, transcript variant X8","ENSMUSG00000006154","2310051G19Rik","7","protein_coding","decreased pulmonary ventilation","EPS8L1"
"Coq4","GSM2545354",325,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,227683,"coenzyme Q4 homolog (yeast), transcript variant X1","ENSMUSG00000026798","D2Ertd97e","2","protein_coding","decreased circulating free fatty acids level","COQ4"
"Hgsnat","GSM2545351",3347,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,52120,"heparan-alpha-glucosaminide N-acetyltransferase","ENSMUSG00000037260","9430010M12Rik","8","protein_coding","abnormal bone structure","HGSNAT"
"Mif-ps1","GSM2545363",2,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,667686,NA,"ENSMUSG00000104360","Gm8762","1","processed_pseudogene",NA,NA
"Mir1901","GSM2545347",31,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,100316686,"microRNA 1901","ENSMUSG00000084565","Mirn1901","18","miRNA",NA,NA
"Tppp","GSM2545348",12140,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,72948,"tubulin polymerization promoting protein","ENSMUSG00000021573","2900041A09Rik","13","protein_coding","abnormal behavior","TPPP"
"Snora75","GSM2545345",13,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,100303740,"small nucleolar RNA, H/ACA box 75","ENSMUSG00000064837","MBI-55","1","snoRNA",NA,"SNORA75"
"Gm19582","GSM2545347",61,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,100503175,"predicted gene, 19582","ENSMUSG00000101942",NA,"1","lncRNA",NA,NA
